"Month","Average monthly temperatures across the world"
"1951,01",2.9
"1951,02",5.0
"1951,03",6.2
"1951,04",11.1
"1951,05",15.6
"1951,06",19.1
"1951,07",19.9
"1951,08",21.2
"1951,09",17.9
"1951,10",9.9
"1951,11",8.1
"1951,12",2.2
"1952,01",?0.4
"1952,02",?0.4
"1952,03",4.8
"1952,04",14.1
"1952,05",15.4
"1952,06",20.0
"1952,07",23.0
"1952,08",23.0
"1952,09",14.8
"1952,10",10.8
"1952,11",4.4
"1952,12",0.7
"1953,01",?0.2
"1953,02",0.4
"1953,03",5.4
"1953,04",12.1
"1953,05",15.1
"1953,06",19.3
"1953,07",21.4
"1953,08",19.0
"1953,09",16.5
"1953,10",12.8
"1953,11",3.6
"1953,12",0.6
"1954,01",?4.8
"1954,02",?4.5
"1954,03",6.5
"1954,04",8.7
"1954,05",14.3
"1954,06",20.3
"1954,07",18.5
"1954,08",19.0
"1954,09",16.7
"1954,10",10.2
"1954,11",4.8
"1954,12",3.3
"1955,01",1.2
"1955,02",2.5
"1955,03",2.7
"1955,04",8.6
"1955,05",14.0
"1955,06",17.9
"1955,07",20.2
"1955,08",19.0
"1955,09",15.8
"1955,10",10.5
"1955,11",4.4
"1955,12",3.2
"1956,01",3.1
"1956,02",?8.2
"1956,03",2.7
"1956,04",10.6
"1956,05",16.1
"1956,06",17.5
"1956,07",21.1
"1956,08",19.8
"1956,09",16.7
"1956,10",9.7
"1956,11",2.8
"1956,12",0.2
"1957,01",?3.7
"1957,02",5.3
"1957,03",8.0
"1957,04",10.4
"1957,05",12.8
"1957,06",20.9
"1957,07",21.0
"1957,08",18.5
"1957,09",15.2
"1957,10",10.1
"1957,11",6.4
"1957,12",1.6
"1958,01",1.7
"1958,02",4.7
"1958,03",2.8
"1958,04",8.8
"1958,05",19.2
"1958,06",18.5
"1958,07",21.5
"1958,08",20.8
"1958,09",16.2
"1958,10",11.5
"1958,11",6.5
"1958,12",3.8
"1959,01",0.6
"1959,02",?0.6
"1959,03",8.8
"1959,04",11.7
"1959,05",15.4
"1959,06",17.9
"1959,07",21.0
"1959,08",19.3
"1959,09",14.4
"1959,10",8.9
"1959,11",5.9
"1959,12",4.6
"1960,01",?1.1
"1960,02",2.4
"1960,03",6.5
"1960,04",10.4
"1960,05",14.2
"1960,06",19.2
"1960,07",18.2
"1960,08",19.6
"1960,09",18.4
"1960,10",12.4
"1960,11",7.6
"1960,12",4.0
"1961,01",?0.9
"1961,02",3.5
"1961,03",8.0
"1961,04",13.9
"1961,05",13.9
"1961,06",19.1
"1961,07",18.6
"1961,08",19.0
"1961,09",17.3
"1961,10",12.3
"1961,11",6.4
"1961,12",0.1
"1962,01",?0.3
"1962,02",1.2
"1962,03",2.8
"1962,04",10.7
"1962,05",14.0
"1962,06",16.4
"1962,07",18.6
"1962,08",20.8
"1962,09",15.0
"1962,10",11.0
"1962,11",4.8
"1962,12",?3.2
"1963,01",?6.2
"1963,02",?3.1
"1963,03",4.0
"1963,04",11.8
"1963,05",15.1
"1963,06",19.6
"1963,07",21.8
"1963,08",20.6
"1963,09",16.6
"1963,10",10.2
"1963,11",10.2
"1963,12",?3.4
"1964,01",?7.0
"1964,02",0.3
"1964,03",3.8
"1964,04",11.2
"1964,05",14.8
"1964,06",20.4
"1964,07",20.1
"1964,08",18.4
"1964,09",15.4
"1964,10",10.4
"1964,11",7.4
"1964,12",0.7
"1965,01",1.6
"1965,02",?1.5
"1965,03",6.2
"1965,04",9.2
"1965,05",14.0
"1965,06",18.7
"1965,07",19.7
"1965,08",17.4
"1965,09",15.9
"1965,10",9.4
"1965,11",3.8
"1965,12",3.2
"1966,01",?3.0
"1966,02",7.6
"1966,03",5.1
"1966,04",12.5
"1966,05",15.0
"1966,06",19.4
"1966,07",18.9
"1966,08",18.3
"1966,09",15.8
"1966,10",14.2
"1966,11",4.0
"1966,12",1.3
"1967,01",?2.2
"1967,02",2.7
"1967,03",7.4
"1967,04",9.7
"1967,05",16.0
"1967,06",17.9
"1967,07",21.7
"1967,08",19.5
"1967,09",16.9
"1967,10",11.7
"1967,11",5.8
"1967,12",?0.3
"1968,01",?1.7
"1968,02",3.5
"1968,03",6.6
"1968,04",12.3
"1968,05",15.8
"1968,06",18.9
"1968,07",20.2
"1968,08",18.5
"1968,09",15.1
"1968,10",11.3
"1968,11",6.3
"1968,12",?1.5
"1969,01",?1.9
"1969,02",?0.2
"1969,03",4.4
"1969,04",9.8
"1969,05",16.7
"1969,06",17.6
"1969,07",18.9
"1969,08",17.9
"1969,09",16.0
"1969,10",9.2
"1969,11",9.2
"1969,12",?3.6
"1970,01",?0.9
"1970,02",1.1
"1970,03",4.8
"1970,04",9.5
"1970,05",13.1
"1970,06",19.6
"1970,07",19.7
"1970,08",20.0
"1970,09",15.6
"1970,10",9.8
"1970,11",8.3
"1970,12",0.3
"1971,01",?0.9
"1971,02",3.9
"1971,03",3.1
"1971,04",11.6
"1971,05",16.5
"1971,06",18.1
"1971,07",21.0
"1971,08",21.2
"1971,09",13.6
"1971,10",10.0
"1971,11",4.6
"1971,12",0.9
"1972,01",?1.0
"1972,02",4.4
"1972,03",8.5
"1972,04",11.1
"1972,05",14.8
"1972,06",19.2
"1972,07",20.9
"1972,08",19.3
"1972,09",13.6
"1972,10",9.6
"1972,11",5.3
"1972,12",1.3
"1973,01",?0.6
"1973,02",2.6
"1973,03",5.6
"1973,04",9.1
"1973,05",16.2
"1973,06",18.8
"1973,07",20.3
"1973,08",19.8
"1973,09",16.8
"1973,10",9.5
"1973,11",3.6
"1973,12",1.1
"1974,01",1.5
"1974,02",6.6
"1974,03",8.1
"1974,04",9.7
"1974,05",14.3
"1974,06",17.0
"1974,07",19.7
"1974,08",21.0
"1974,09",16.3
"1974,10",7.0
"1974,11",6.2
"1974,12",3.2
"1975,01",4.6
"1975,02",2.4
"1975,03",7.5
"1975,04",10.5
"1975,05",16.6
"1975,06",17.8
"1975,07",20.2
"1975,08",19.7
"1975,09",18.5
"1975,10",10.1
"1975,11",4.5
"1975,12",1.2
"1976,01",1.4
"1976,02",1.0
"1976,03",2.4
"1976,04",11.2
"1976,05",14.8
"1976,06",18.1
"1976,07",20.8
"1976,08",16.9
"1976,09",15.0
"1976,10",11.1
"1976,11",7.5
"1976,12",0.8
"1977,01",2.3
"1977,02",5.6
"1977,03",9.4
"1977,04",9.1
"1977,05",15.2
"1977,06",19.1
"1977,07",20.0
"1977,08",19.5
"1977,09",14.4
"1977,10",11.8
"1977,11",6.4
"1977,12",?0.3
"1978,01",0.7
"1978,02",0.9
"1978,03",7.4
"1978,04",9.4
"1978,05",13.2
"1978,06",17.7
"1978,07",18.6
"1978,08",18.0
"1978,09",15.1
"1978,10",10.5
"1978,11",1.8
"1978,12",1.1
"1979,01",?1.9
"1979,02",2.7
"1979,03",8.3
"1979,04",9.6
"1979,05",15.5
"1979,06",20.8
"1979,07",18.9
"1979,08",18.6
"1979,09",15.9
"1979,10",9.8
"1979,11",6.1
"1979,12",4.4
"1980,01",?1.8
"1980,02",3.3
"1980,03",6.1
"1980,04",8.8
"1980,05",13.0
"1980,06",17.9
"1980,07",19.2
"1980,08",20.0
"1980,09",16.0
"1980,10",10.8
"1980,11",4.2
"1980,12",?1.0
"1981,01",?2.4
"1981,02",0.9
"1981,03",9.2
"1981,04",10.7
"1981,05",15.1
"1981,06",18.9
"1981,07",19.6
"1981,08",19.9
"1981,09",16.9
"1981,10",12.9
"1981,11",4.9
"1981,12",0.8
"1982,01",?1.8
"1982,02",?0.3
"1982,03",5.7
"1982,04",8.4
"1982,05",15.5
"1982,06",19.7
"1982,07",21.2
"1982,08",19.8
"1982,09",19.0
"1982,10",12.1
"1982,11",6.0
"1982,12",4.3
"1983,01",3.3
"1983,02",?0.8
"1983,03",7.4
"1983,04",13.0
"1983,05",16.6
"1983,06",18.5
"1983,07",22.6
"1983,08",20.7
"1983,09",16.6
"1983,10",11.3
"1983,11",2.7
"1983,12",0.9
"1984,01",0.5
"1984,02",0.7
"1984,03",5.5
"1984,04",10.3
"1984,05",13.9
"1984,06",17.4
"1984,07",18.8
"1984,08",19.0
"1984,09",16.4
"1984,10",12.4
"1984,11",5.8
"1984,12",1.3
"1985,01",?5.4
"1985,02",?3.3
"1985,03",5.4
"1985,04",10.5
"1985,05",16.4
"1985,06",16.7
"1985,07",20.5
"1985,08",20.1
"1985,09",16.7
"1985,10",10.4
"1985,11",3.3
"1985,12",5.2
"1986,01",0.9
"1986,02",?3.0
"1986,03",3.5
"1986,04",11.3
"1986,05",17.9
"1986,06",17.6
"1986,07",19.3
"1986,08",20.8
"1986,09",15.6
"1986,10",10.2
"1986,11",5.8
"1986,12",?0.1
"1987,01",?3.1
"1987,02",1.9
"1987,03",2.0
"1987,04",11.1
"1987,05",14.0
"1987,06",18.6
"1987,07",21.6
"1987,08",19.0
"1987,09",19.6
"1987,10",12.2
"1987,11",5.0
"1987,12",1.4
"1988,01",3.7
"1988,02",4.1
"1988,03",6.0
"1988,04",10.3
"1988,05",15.7
"1988,06",18.2
"1988,07",22.1
"1988,08",20.9
"1988,09",16.4
"1988,10",10.8
"1988,11",1.5
"1988,12",1.2
"1989,01",?0.8
"1989,02",4.4
"1989,03",9.4
"1989,04",12.0
"1989,05",14.7
"1989,06",17.1
"1989,07",20.9
"1989,08",20.2
"1989,09",16.2
"1989,10",10.8
"1989,11",4.3
"1989,12",2.9
"1990,01",?0.1
"1990,02",7.0
"1990,03",9.8
"1990,04",10.2
"1990,05",16.4
"1990,06",18.4
"1990,07",20.3
"1990,08",20.8
"1990,09",14.9
"1990,10",11.6
"1990,11",5.7
"1990,12",1.1
"1991,01",1.9
"1991,02",?2.0
"1991,03",8.8
"1991,04",9.3
"1991,05",12.1
"1991,06",18.6
"1991,07",22.1
"1991,08",20.8
"1991,09",17.3
"1991,10",9.8
"1991,11",6.1
"1991,12",?1.2
"1992,01",1.9
"1992,02",4.2
"1992,03",7.0
"1992,04",11.5
"1992,05",16.1
"1992,06",19.7
"1992,07",21.3
"1992,08",24.5
"1992,09",17.7
"1992,10",10.8
"1992,11",7.0
"1992,12",1.4
"1993,01",1.5
"1993,02",0.9
"1993,03",6.0
"1993,04",11.8
"1993,05",18.2
"1993,06",19.7
"1993,07",20.7
"1993,08",21.3
"1993,09",16.2
"1993,10",12.7
"1993,11",2.2
"1993,12",2.1
"1994,01",3.8
"1994,02",3.0
"1994,03",10.6
"1994,04",11.3
"1994,05",16.1
"1994,06",19.8
"1994,07",23.0
"1994,08",22.5
"1994,09",19.0
"1994,10",9.7
"1994,11",7.9
"1994,12",2.3
"1995,01",1.2
"1995,02",6.1
"1995,03",6.0
"1995,04",11.9
"1995,05",15.5
"1995,06",18.2
"1995,07",22.9
"1995,08",20.0
"1995,09",15.7
"1995,10",12.5
"1995,11",5.1
"1995,12",1.6
"1996,01",?0.7
"1996,02",?0.6
"1996,03",4.0
"1996,04",11.0
"1996,05",17.3
"1996,06",20.4
"1996,07",19.6
"1996,08",20.7
"1996,09",14.1
"1996,10",12.2
"1996,11",8.3
"1996,12",?0.9

Average monthly temperatures across the world

